@relation <train.arff>
@ATTRIBUTE Attribute_1 NUMERIC
@ATTRIBUTE Attribute_2 NUMERIC
@ATTRIBUTE Attribute_3 NUMERIC
@ATTRIBUTE Attribute_4 NUMERIC
@ATTRIBUTE Attribute_5 NUMERIC
@ATTRIBUTE Attribute_6 NUMERIC
@ATTRIBUTE Attribute_7 NUMERIC
@ATTRIBUTE Attribute_8 NUMERIC
@ATTRIBUTE Attribute_9 NUMERIC
@ATTRIBUTE Attribute_10 NUMERIC
@ATTRIBUTE Attribute_11 NUMERIC
@ATTRIBUTE Attribute_12 NUMERIC
@ATTRIBUTE Attribute_13 NUMERIC
@ATTRIBUTE Attribute_14 NUMERIC
@ATTRIBUTE Attribute_15 NUMERIC
@ATTRIBUTE Attribute_16 NUMERIC
@ATTRIBUTE Attribute_17 NUMERIC
@ATTRIBUTE Attribute_18 NUMERIC
@ATTRIBUTE class {0,1,2,3}
@data
25.00,6984.00,4170689.00,12.00,186909.00,92.00,85.00,79.00,96.00,43.00,57.00,70.00,36.00,674758.00,150382.00,587289.00,99403.00,299188.00,3
32.00,6728.00,4498211.00,14.00,177531.00,108.00,100.00,58.00,45.00,112.00,51.00,72.00,43.00,136559.00,433016.00,261244.00,358096.00,284664.00,3
24.00,9557.00,4778726.00,13.00,143830.00,44.00,120.00,60.00,53.00,116.00,39.00,111.00,41.00,1191339.00,767234.00,279270.00,687801.00,531086.00,3
35.00,5016.00,4702112.00,10.00,111782.00,73.00,73.00,92.00,90.00,67.00,84.00,44.00,44.00,202000.00,969590.00,199745.00,564795.00,17232.00,1
26.00,8085.00,4079138.00,12.00,106662.00,39.00,58.00,54.00,74.00,101.00,43.00,67.00,26.00,413845.00,673407.00,5.00,5.00,5.00,1
27.00,5117.00,4651944.00,14.00,196236.00,54.00,101.00,76.00,42.00,59.00,82.00,120.00,28.00,1171382.00,668508.00,2517.00,748839.00,481740.00,2
34.00,11130.00,4335063.00,15.00,204787.00,93.00,64.00,107.00,85.00,49.00,106.00,122.00,31.00,264528.00,998129.00,121818.00,442555.00,726750.00,0
29.00,7998.00,4938035.00,13.00,186424.00,110.00,84.00,106.00,116.00,53.00,93.00,84.00,30.00,889520.00,608358.00,446343.00,386384.00,515924.00,2
28.00,10455.00,4349483.00,13.00,95938.00,51.00,113.00,126.00,122.00,71.00,105.00,91.00,45.00,635825.00,570195.00,110371.00,741711.00,693095.00,2
35.00,4871.00,4753747.00,15.00,198843.00,123.00,56.00,42.00,71.00,90.00,96.00,58.00,24.00,352904.00,1066128.00,5.00,5.00,5.00,0
27.00,5778.00,3988575.00,11.00,186166.00,119.00,110.00,79.00,92.00,59.00,97.00,121.00,40.00,541195.00,479052.00,503378.00,178095.00,109878.00,1
32.00,7723.00,4860218.00,14.00,108195.00,62.00,124.00,57.00,118.00,115.00,46.00,53.00,25.00,30004.00,58435.00,5.00,5.00,5.00,1
23.00,5102.00,4575419.00,12.00,110433.00,41.00,83.00,86.00,109.00,82.00,89.00,67.00,26.00,575211.00,5130.00,749330.00,435165.00,217873.00,3
31.00,8920.00,4444753.00,11.00,104272.00,124.00,39.00,76.00,121.00,81.00,74.00,84.00,38.00,788348.00,115699.00,5.00,5.00,5.00,1
24.00,11204.00,3928123.00,12.00,209870.00,111.00,101.00,117.00,63.00,97.00,93.00,84.00,34.00,338202.00,1192536.00,5.00,5.00,5.00,2
32.00,6658.00,4918700.00,14.00,129705.00,58.00,97.00,65.00,42.00,123.00,116.00,123.00,23.00,1111151.00,1190247.00,5.00,5.00,5.00,2
29.00,11022.00,4048698.00,12.00,157581.00,43.00,85.00,61.00,43.00,112.00,95.00,72.00,44.00,380676.00,842053.00,5.00,5.00,5.00,0
23.00,3570.00,4775156.00,11.00,146226.00,67.00,52.00,99.00,68.00,72.00,60.00,42.00,33.00,497684.00,812965.00,162638.00,220889.00,249635.00,0
31.00,6716.00,4039472.00,13.00,195769.00,70.00,70.00,60.00,74.00,50.00,88.00,113.00,42.00,1167126.00,94250.00,5.00,5.00,5.00,0
29.00,3291.00,4567452.00,10.00,151092.00,80.00,71.00,70.00,51.00,44.00,53.00,91.00,41.00,1145504.00,709348.00,564959.00,722641.00,538637.00,2
28.00,7908.00,4338803.00,14.00,105099.00,103.00,78.00,110.00,75.00,81.00,68.00,55.00,40.00,985189.00,751943.00,662329.00,401264.00,2831.00,2
25.00,5544.00,4263558.00,15.00,184850.00,116.00,65.00,77.00,58.00,105.00,107.00,99.00,22.00,1500.00,556753.00,95101.00,148706.00,127467.00,2
34.00,3721.00,4733957.00,15.00,211245.00,109.00,91.00,65.00,60.00,69.00,39.00,39.00,40.00,140535.00,866045.00,291034.00,252314.00,557408.00,1
29.00,6569.00,4473172.00,11.00,214235.00,62.00,39.00,99.00,99.00,100.00,46.00,92.00,45.00,330994.00,823104.00,492737.00,356149.00,443172.00,1
29.00,8808.00,4349767.00,11.00,195697.00,63.00,50.00,68.00,114.00,70.00,103.00,89.00,29.00,90534.00,102826.00,275537.00,715905.00,611540.00,2
32.00,3788.00,4333464.00,14.00,176048.00,90.00,101.00,45.00,122.00,84.00,73.00,81.00,39.00,469596.00,902735.00,138204.00,313270.00,364817.00,0
25.00,6820.00,4564151.00,15.00,125014.00,73.00,50.00,73.00,62.00,81.00,82.00,42.00,45.00,939837.00,71942.00,465766.00,735202.00,711104.00,2
24.00,9885.00,4622976.00,12.00,171369.00,122.00,59.00,53.00,128.00,55.00,101.00,81.00,27.00,667184.00,839870.00,791212.00,256983.00,35834.00,1
32.00,7345.00,4211274.00,10.00,202104.00,62.00,65.00,120.00,87.00,105.00,111.00,98.00,28.00,225456.00,1200273.00,661441.00,410305.00,696517.00,2
30.00,4814.00,4082391.00,12.00,135647.00,47.00,103.00,84.00,44.00,116.00,113.00,116.00,22.00,126071.00,1039219.00,725667.00,692368.00,735655.00,2
25.00,4974.00,4462321.00,15.00,123958.00,85.00,104.00,69.00,77.00,61.00,80.00,69.00,33.00,175104.00,99465.00,336913.00,445742.00,119926.00,3
33.00,6358.00,4149153.00,15.00,120975.00,40.00,67.00,40.00,122.00,71.00,117.00,111.00,30.00,350564.00,150496.00,585077.00,6325.00,537325.00,3
25.00,6447.00,4049614.00,15.00,113152.00,79.00,78.00,82.00,39.00,60.00,128.00,79.00,45.00,123225.00,517652.00,785577.00,765380.00,257702.00,0
33.00,4042.00,4905054.00,15.00,114281.00,95.00,122.00,108.00,87.00,97.00,125.00,72.00,39.00,242037.00,402804.00,581695.00,285413.00,770356.00,1
33.00,10140.00,4570417.00,10.00,209827.00,105.00,116.00,106.00,111.00,84.00,107.00,71.00,35.00,57911.00,867787.00,758773.00,319688.00,159764.00,1
23.00,11836.00,3823762.00,15.00,160631.00,65.00,119.00,98.00,101.00,40.00,122.00,73.00,28.00,866931.00,992376.00,260398.00,542168.00,558009.00,1
22.00,10987.00,4097685.00,12.00,109276.00,58.00,127.00,45.00,47.00,118.00,90.00,88.00,45.00,698050.00,1120814.00,510861.00,361625.00,494298.00,3
27.00,7039.00,4891530.00,14.00,216984.00,44.00,67.00,94.00,50.00,90.00,62.00,56.00,24.00,235288.00,560987.00,554811.00,689988.00,95986.00,3
31.00,4815.00,3895740.00,10.00,199063.00,93.00,101.00,68.00,115.00,125.00,70.00,44.00,39.00,219287.00,1035805.00,5.00,5.00,5.00,2
35.00,11163.00,4663878.00,12.00,176646.00,64.00,93.00,85.00,121.00,76.00,128.00,78.00,41.00,654767.00,453811.00,363126.00,386827.00,427019.00,1
30.00,7130.00,4011210.00,12.00,136010.00,60.00,105.00,54.00,96.00,42.00,99.00,69.00,35.00,357798.00,1158165.00,459605.00,8165.00,92591.00,3
34.00,11967.00,4631124.00,15.00,188530.00,74.00,112.00,65.00,88.00,123.00,95.00,111.00,33.00,281602.00,894436.00,628246.00,179361.00,516306.00,2
35.00,5210.00,4645662.00,12.00,110752.00,116.00,57.00,98.00,108.00,115.00,41.00,48.00,37.00,1022090.00,921626.00,5.00,5.00,5.00,2
24.00,9902.00,4418442.00,12.00,208424.00,108.00,85.00,43.00,98.00,41.00,96.00,100.00,43.00,435649.00,980504.00,444444.00,66322.00,556371.00,1
30.00,9262.00,4931293.00,13.00,219513.00,86.00,76.00,127.00,85.00,58.00,54.00,53.00,36.00,339460.00,859877.00,489628.00,651578.00,136889.00,1
27.00,7685.00,4357935.00,13.00,156902.00,112.00,105.00,106.00,97.00,88.00,41.00,97.00,37.00,593784.00,697279.00,504645.00,307060.00,286543.00,1
35.00,10391.00,4866498.00,14.00,155330.00,43.00,64.00,76.00,55.00,114.00,104.00,40.00,23.00,258514.00,705509.00,683515.00,686254.00,190853.00,0
26.00,4812.00,4922987.00,13.00,201439.00,67.00,86.00,41.00,39.00,65.00,127.00,105.00,37.00,82600.00,1157274.00,156317.00,14619.00,102181.00,0
27.00,11015.00,4491715.00,13.00,219737.00,39.00,77.00,84.00,46.00,54.00,57.00,65.00,36.00,11.00,364943.00,431873.00,764321.00,322156.00,3
29.00,7044.00,4957174.00,15.00,202520.00,122.00,59.00,78.00,106.00,127.00,63.00,44.00,45.00,387795.00,55938.00,5.00,5.00,5.00,3
35.00,3101.00,4753125.00,10.00,206409.00,77.00,80.00,85.00,110.00,46.00,99.00,125.00,23.00,821552.00,364435.00,698425.00,452757.00,758186.00,3
28.00,9453.00,4809945.00,11.00,223000.00,42.00,109.00,91.00,87.00,64.00,109.00,78.00,36.00,476198.00,673090.00,404041.00,672470.00,112773.00,2
23.00,7666.00,4070783.00,10.00,149190.00,79.00,60.00,108.00,68.00,92.00,116.00,98.00,35.00,176923.00,548229.00,439001.00,316184.00,649875.00,0
23.00,3555.00,4602228.00,13.00,159896.00,92.00,61.00,66.00,80.00,83.00,80.00,106.00,36.00,327706.00,927906.00,554740.00,375087.00,157528.00,2
34.00,9427.00,4695086.00,13.00,141416.00,108.00,79.00,75.00,88.00,73.00,78.00,107.00,26.00,429728.00,403529.00,212232.00,210851.00,573105.00,2
32.00,10945.00,4771633.00,15.00,152961.00,110.00,48.00,106.00,80.00,91.00,41.00,51.00,34.00,207676.00,288743.00,583842.00,562501.00,684488.00,2
35.00,5524.00,4120803.00,10.00,175767.00,50.00,113.00,42.00,51.00,41.00,70.00,121.00,34.00,1069864.00,1065849.00,325416.00,364373.00,388949.00,3
25.00,10974.00,4244596.00,12.00,156370.00,102.00,74.00,88.00,111.00,92.00,59.00,96.00,34.00,1027479.00,737034.00,717812.00,67090.00,128294.00,1
28.00,3848.00,4826640.00,10.00,131972.00,48.00,102.00,88.00,97.00,100.00,123.00,108.00,40.00,251564.00,804432.00,5.00,5.00,5.00,1
34.00,10692.00,3879617.00,15.00,185608.00,40.00,101.00,54.00,97.00,98.00,114.00,57.00,26.00,219704.00,1051314.00,5.00,5.00,5.00,1
33.00,10564.00,4878932.00,13.00,126507.00,103.00,126.00,122.00,64.00,115.00,40.00,62.00,34.00,602881.00,294175.00,129442.00,727795.00,515288.00,0
31.00,6292.00,3944957.00,11.00,192455.00,51.00,47.00,69.00,46.00,77.00,79.00,42.00,27.00,332660.00,642393.00,276746.00,123973.00,145977.00,0
